Frame,Prediction,Confidence,FPS
628,crocodile,0.8346,2.95
629,crocodile,0.8358,3.3
630,crocodile,0.8431,3.29
631,crocodile,0.8371,3.24
632,crocodile,0.8347,3.3
633,crocodile,0.8396,3.11
634,crocodile,0.8401,3.04
635,crocodile,0.8195,3.1
636,crocodile,0.8113,3.03
637,crocodile,0.8035,2.95
638,crocodile,0.8028,2.95
639,crocodile,0.8069,2.89
640,crocodile,0.7986,2.89
641,crocodile,0.8045,2.58
642,crocodile,0.8086,2.59
643,crocodile,0.8093,2.18
644,crocodile,0.813,2.65
645,crocodile,0.8238,2.52
646,crocodile,0.8273,2.2
647,crocodile,0.8282,2.25
648,crocodile,0.8273,2.15
649,crocodile,0.8267,2.7
650,crocodile,0.831,2.74
651,crocodile,0.839,2.66
652,crocodile,0.8315,2.78
653,crocodile,0.8354,2.67
654,crocodile,0.8287,2.72
655,crocodile,0.8341,2.5
656,crocodile,0.833,2.24
657,crocodile,0.8207,2.28
658,crocodile,0.8153,2.71
659,crocodile,0.8133,2.18
660,crocodile,0.8098,2.64
661,crocodile,0.8027,2.69
662,crocodile,0.7934,2.63
663,crocodile,0.7823,2.66
664,crocodile,0.7934,2.61
665,crocodile,0.7829,2.16
666,crocodile,0.7992,2.69
667,crocodile,0.7787,2.64
668,crocodile,0.7795,2.52
669,crocodile,0.7984,2.67
670,crocodile,0.6819,2.67
671,crocodile,0.7458,2.74
672,crocodile,0.7629,2.46
673,crocodile,0.698,2.25
674,crocodile,0.6866,2.24
675,non-crocodile,0.5664,2.7
676,non-crocodile,0.6127,2.7
677,non-crocodile,0.6138,2.68
678,non-crocodile,0.5946,2.72
679,non-crocodile,0.5702,2.67
680,crocodile,0.5619,2.68
681,crocodile,0.6489,2.43
682,crocodile,0.6182,2.39
683,crocodile,0.643,2.15
684,crocodile,0.6116,2.48
685,crocodile,0.5902,2.25
686,crocodile,0.612,2.21
687,crocodile,0.6238,2.67
688,crocodile,0.6083,2.66
689,crocodile,0.6229,2.7
690,crocodile,0.6348,2.73
691,crocodile,0.6547,2.65
692,crocodile,0.6606,2.68
693,crocodile,0.6679,2.73
694,crocodile,0.6678,2.54
695,crocodile,0.682,2.66
696,crocodile,0.6832,2.55
697,crocodile,0.6806,2.71
698,crocodile,0.6747,2.68
699,crocodile,0.6829,2.4
700,crocodile,0.6826,2.04
701,crocodile,0.6938,2.55
702,crocodile,0.6964,3.23
703,crocodile,0.7015,3.3
704,crocodile,0.7156,3.34
705,crocodile,0.7087,3.29
706,crocodile,0.7714,2.69
707,crocodile,0.7621,2.4
708,crocodile,0.7566,2.71
709,crocodile,0.7691,2.63
710,crocodile,0.7664,2.67
711,crocodile,0.7632,2.64
712,crocodile,0.7503,2.57
713,crocodile,0.7496,2.67
714,crocodile,0.7203,1.95
715,crocodile,0.6804,2.68
716,crocodile,0.6285,2.68
717,crocodile,0.624,2.5
718,crocodile,0.6274,2.18
719,crocodile,0.6283,2.3
720,crocodile,0.6361,2.73
721,crocodile,0.642,2.7
722,crocodile,0.649,2.25
723,crocodile,0.6514,2.7
724,crocodile,0.6572,2.62
725,crocodile,0.8606,2.69
726,crocodile,0.8608,2.65
727,crocodile,0.8619,2.64
728,crocodile,0.8612,2.7
729,crocodile,0.8636,2.67
730,crocodile,0.8646,2.66
731,crocodile,0.865,2.63
732,crocodile,0.8683,2.38
733,crocodile,0.8639,2.23
734,crocodile,0.8574,2.24
735,crocodile,0.8542,2.32
736,crocodile,0.8549,2.21
737,crocodile,0.8546,2.27
738,crocodile,0.8538,2.23
739,crocodile,0.8538,2.61
740,crocodile,0.8508,2.11
741,crocodile,0.8492,3.17
742,crocodile,0.8501,3.3
743,crocodile,0.843,2.68
744,crocodile,0.8495,2.63
745,crocodile,0.851,2.55
746,crocodile,0.8463,2.71
